feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,clor_val
0.1871781,0.18391295,0.18319625,0.18284956,0.18395288,0.17994766,0.1845125,0.17920102,0.18391295
0.18284956,0.18391295,0.18395288,0.17994766,0.17920102,0.17704028,0.18920204,0.17920102,0.1845125
0.17994766,0.1845125,0.17920102,0.17704028,0.17920102,0.16731521,0.16061835,0.16061835,0.18920204
0.17704028,0.18920204,0.17920102,0.16731521,0.16061835,0.1710722,0.1710722,0.17403013,0.16061835
0.16731521,0.16061835,0.16061835,0.1710722,0.17403013,0.17012617,0.17701396,0.17817257,0.1710722
0.1710722,0.1710722,0.17403013,0.17012617,0.17817257,0.16904703,0.1701212,0.17418616,0.17701396
0.17012617,0.17701396,0.17817257,0.16904703,0.17418616,0.17155512,0.17859834,0.17637408,0.1701212
0.16904703,0.1701212,0.17418616,0.17155512,0.17637408,0.17120583,0.17779231,0.17062022,0.17859834
0.17155512,0.17859834,0.17637408,0.17120583,0.17062022,0.16757664,0.16703969,0.16533346,0.17779231
0.19428799,0.18689364,0.19216973,0.18599825,0.19438887,0.19151714,0.19709244,0.21730648,0.18689364
0.18599825,0.18689364,0.19438887,0.19151714,0.21730648,0.18913178,0.19359915,0.21730648,0.19709244
0.19151714,0.19709244,0.21730648,0.18913178,0.21730648,0.19060498,0.19133301,0.21754621,0.19359915
0.18913178,0.19359915,0.21730648,0.19060498,0.21754621,0.19399707,0.18250607,0.18469745,0.19133301
0.19060498,0.19133301,0.21754621,0.19399707,0.18469745,0.18391295,0.18319625,0.18354046,0.18250607
0.19399707,0.18250607,0.18469745,0.18391295,0.18354046,0.18391295,0.18395288,0.18791911,0.18319625
0.18391295,0.18319625,0.18354046,0.18391295,0.18791911,0.1845125,0.17920102,0.17972003,0.18395288
0.18391295,0.18395288,0.18791911,0.1845125,0.17972003,0.18920204,0.17920102,0.17920102,0.17920102
0.1845125,0.17920102,0.17972003,0.18920204,0.17920102,0.16061835,0.16061835,0.17426378,0.17920102
0.18920204,0.17920102,0.17920102,0.16061835,0.17426378,0.1710722,0.17403013,0.18011716,0.16061835
0.16061835,0.16061835,0.17426378,0.1710722,0.18011716,0.17701396,0.17817257,0.17585686,0.17403013
0.1710722,0.17403013,0.18011716,0.17701396,0.17585686,0.1701212,0.17418616,0.1754345,0.17817257
0.17701396,0.17817257,0.17585686,0.1701212,0.1754345,0.17859834,0.17637408,0.17212465,0.17418616
0.1701212,0.17418616,0.1754345,0.17859834,0.17212465,0.17779231,0.17062022,0.16770913,0.17637408
0.17859834,0.17637408,0.17212465,0.17779231,0.16770913,0.16703969,0.16533346,0.16727361,0.17062022
0.17779231,0.17062022,0.16770913,0.16703969,0.16727361,0.15846533,0.16334529,0.16727361,0.16533346
0.18689364,0.19216973,0.19869792,0.18689364,0.19771796,0.19709244,0.21730648,0.23235275,0.19438887
0.19133301,0.21754621,0.19664836,0.18250607,0.18720432,0.18319625,0.18354046,0.1929482,0.18469745
0.18250607,0.18469745,0.18720432,0.18319625,0.1929482,0.18395288,0.18791911,0.18721282,0.18354046
0.18319625,0.18354046,0.1929482,0.18395288,0.18721282,0.17920102,0.17972003,0.17972003,0.18791911
0.18395288,0.18791911,0.18721282,0.17920102,0.17972003,0.17920102,0.17920102,0.17972003,0.17972003
0.17920102,0.17972003,0.17972003,0.17920102,0.17972003,0.16061835,0.17426378,0.16938893,0.17920102
0.17920102,0.17920102,0.17972003,0.16061835,0.16938893,0.17403013,0.18011716,0.18100335,0.17426378
0.16061835,0.17426378,0.16938893,0.17403013,0.18100335,0.17817257,0.17585686,0.18100335,0.18011716
0.17403013,0.18011716,0.18100335,0.17817257,0.18100335,0.17418616,0.1754345,0.1697294,0.17585686
0.17817257,0.17585686,0.18100335,0.17418616,0.1697294,0.17637408,0.17212465,0.17296897,0.1754345
0.17418616,0.1754345,0.1697294,0.17637408,0.17296897,0.17062022,0.16770913,0.1773066,0.17212465
0.17637408,0.17212465,0.17296897,0.17062022,0.1773066,0.16533346,0.16727361,0.1750257,0.16770913
0.17062022,0.16770913,0.1773066,0.16533346,0.1750257,0.16334529,0.16727361,0.17209871,0.16727361
0.13574451,0.13007663,0.12820664,0.15946406,0.17265452,0.16982204,0.16411029,0.18866736,0.15392488
0.15946406,0.15392488,0.17265452,0.16982204,0.18866736,0.15767682,0.15628248,0.13508336,0.16411029
0.13034879,0.2009799,0.2009799,0.15459104,0.13116866,0.12897646,0.15713543,0.18595557,0.15459104
0.19216973,0.19869792,0.2008283,0.19438887,0.21964559,0.21730648,0.23235275,0.19194704,0.19771796
0.21754621,0.19664836,0.1677783,0.18469745,0.18494736,0.18354046,0.1929482,0.19560432,0.18720432
0.18469745,0.18720432,0.18494736,0.18354046,0.19560432,0.18791911,0.18721282,0.18721282,0.1929482
0.18354046,0.1929482,0.19560432,0.18791911,0.18721282,0.17972003,0.17972003,0.17291975,0.18721282
0.18791911,0.18721282,0.18721282,0.17972003,0.17291975,0.17920102,0.17972003,0.17668106,0.17972003
0.17972003,0.17972003,0.17291975,0.17920102,0.17668106,0.17426378,0.16938893,0.17547709,0.17972003
0.17920102,0.17972003,0.17668106,0.17426378,0.17547709,0.18011716,0.18100335,0.17274398,0.16938893
0.17426378,0.16938893,0.17547709,0.18011716,0.17274398,0.17585686,0.18100335,0.17911951,0.18100335
0.18011716,0.18100335,0.17274398,0.17585686,0.17911951,0.1754345,0.1697294,0.17425084,0.18100335
0.17585686,0.18100335,0.17911951,0.1754345,0.17425084,0.17212465,0.17296897,0.17425084,0.1697294
