feature_0,feature_1,feature_2,clor_val
0.1296529,0.16334063,0.17975906,0.1296529
0.17975906,0.17673036,0.16684957,0.17673036
0.15064168,0.17903307,0.15064168,0.15064168
0.18248388,0.15064168,0.17903307,0.17903307
0.1534505,0.17439,0.17439,0.1534505
0.18248388,0.17903307,0.1534505,0.17903307
0.17439,0.17439,0.17439,0.17439
0.19259535,0.17439,0.19259535,0.19259535
0.14095463,0.37860686,0.37860686,0.14095463
0.37860686,0.37860686,0.37860686,0.37860686
0.21010524,0.19304672,0.20601818,0.19304672
0.16291709,0.19259535,0.19259535,0.16291709
0.20641811,0.20641811,0.20641811,0.20641811
0.16586496,0.16586496,0.16586496,0.16586496
0.15323503,0.15323503,0.15323503,0.15323503
0.17967603,0.17967603,0.19836262,0.17967603
0.1917871,0.19619043,0.2048564,0.20567563
0.15323503,0.15323503,0.14428107,0.15323503
0.15323503,0.14428107,0.15101834,0.14428107
0.16016124,0.1671874,0.1671874,0.16016124
0.1671874,0.1671874,0.1671874,0.1671874
0.14428107,0.15101834,0.15101834,0.14428107
0.15101834,0.15101834,0.18580946,0.18580946
0.17967603,0.19836262,0.19836262,0.19836262
0.18159924,0.18159924,0.18159924,0.17005523
0.15101834,0.18017583,0.15101834,0.18125542
0.18125542,0.17799082,0.17799082,0.18125542
0.17799082,0.17799082,0.17799082,0.17799082
0.18125542,0.17799082,0.17799082,0.17799082
0.17136335,0.17136335,0.17136335,0.17136335
0.1566058,0.1566058,0.1566058,0.1566058
0.20802937,0.20802937,0.20802937,0.20802937
0.16943996,0.16943996,0.16943996,0.16943996
0.1995145,0.1995145,0.19596514,0.19558829
0.14762186,0.14762186,0.14762186,0.14762186
0.18062189,0.17167921,0.17167921,0.17167921
0.14762186,0.14762186,0.14762186,0.14762186
0.14762186,0.14762186,0.14762186,0.14762186
0.14762186,0.26777443,0.14762186,0.14762186
0.26777443,0.14762186,0.26777443,0.26777443
0.193861,0.1957625,0.1957625,0.1957625
0.2651189,0.2651189,0.2651189,0.2651189
0.19822828,0.17950785,0.15415739,0.15415739
0.15415739,0.15415739,0.15415739,0.15415739
0.18953851,0.18953851,0.18953851,0.18953851
0.18953851,0.18953851,0.18953851,0.18953851
0.18536793,0.18536793,0.18536793,0.18536793
0.18536793,0.18536793,0.18536793,0.18536793
0.18786961,0.18786961,0.18786961,0.18786961
0.19715208,0.19512954,0.19512954,0.19715208
0.20124054,0.1998434,0.1928228,0.1998434
0.21757604,0.21757604,0.21757604,0.21757604
0.21757604,0.21757604,0.21757604,0.21757604
0.1946897,0.20219286,0.20219286,0.20219286
0.2045093,0.2045093,0.20279968,0.2045093
0.2045093,0.2045093,0.20279968,0.2045093
0.20901166,0.22853477,0.21224305,0.23806691
0.20208797,0.20208797,0.1984514,0.1984514
0.19525272,0.19440036,0.18887673,0.18887673
0.18652382,0.19290881,0.190555,0.19290881
0.1872577,0.1872577,0.19549866,0.19549866
0.19549866,0.1962287,0.1962287,0.19549866
0.19549866,0.1962287,0.1785158,0.1962287
0.19976535,0.19976535,0.19211388,0.19211388
0.21915399,0.21915399,0.21915399,0.21915399
0.21547428,0.21547428,0.21544845,0.21547428
0.21474993,0.21474993,0.21474993,0.21474993
0.198919,0.18974017,0.18974017,0.19881478
0.19881478,0.198919,0.18974017,0.18974017
0.18974017,0.18974017,0.17729999,0.19881478
0.19158185,0.19158185,0.19158185,0.18754357
0.19158185,0.19158185,0.19158185,0.19158185
0.20933305,0.20933305,0.2094478,0.20933305
0.2094478,0.21826643,0.2094478,0.2094478
0.21096925,0.21096925,0.21096925,0.21096925
0.2197649,0.20556009,0.20933305,0.20556009
0.2094478,0.2094478,0.2094478,0.2094478
0.21881786,0.20238629,0.21881786,0.20238629
0.2197649,0.20556009,0.20933305,0.20556009
0.22111703,0.22111703,0.21928023,0.21928023
0.22020583,0.22020583,0.22163521,0.22020583
0.22025827,0.22025827,0.23408261,0.22584094
0.22020583,0.22163521,0.22163521,0.22020583
0.22020583,0.22020583,0.22163521,0.22163521
0.23922133,0.23922133,0.23922133,0.24103971
0.23408261,0.23408261,0.259366,0.259366
0.20667228,0.20667228,0.20667228,0.20667228
0.24895616,0.24453361,0.24453361,0.24453361
0.24453361,0.24453361,0.24453361,0.24453361
0.24453361,0.24453361,0.24453361,0.24453361
0.26711035,0.27110252,0.27110252,0.26711035
0.26711035,0.26711035,0.27110252,0.27110252
0.24450502,0.2497589,0.24851118,0.24450502
0.2556361,0.26719716,0.26719716,0.26146063
0.24450502,0.25140554,0.24851118,0.24450502
0.24450502,0.25140554,0.2663808,0.25140554
0.27235532,0.27866623,0.26719716,0.27235532
0.3676932,0.30577695,0.38747007,0.33246717
0.33246717,0.3676932,0.38747007,0.30577695
0.27017033,0.27522236,0.27522236,0.27017033
0.27017033,0.27017033,0.27522236,0.27522236
0.27017033,0.27522236,0.27699208,0.27699208
0.27017033,0.27699208,0.27522236,0.27699208
0.25645855,0.25645855,0.25645855,0.26945734
0.25694585,0.2590913,0.25459266,0.25459266
0.26800773,0.27086428,0.27086428,0.26821104
0.26490453,0.25063652,0.25063652,0.26490453
0.2590913,0.25784355,0.25459266,0.25799197
0.27086428,0.27086428,0.26800773,0.27086428
0.27538,0.26928568,0.27670258,0.27208093
0.2754517,0.2754517,0.2754517,0.2754517
0.2666446,0.27189556,0.2693543,0.27189556
0.267523,0.2662222,0.2666069,0.267523
0.2666069,0.25568593,0.25568593,0.2666446
0.26860398,0.26012668,0.26978624,0.26860398
0.2664661,0.26860398,0.26012668,0.26012668
0.25918415,0.2669627,0.25885612,0.25769448
0.2664661,0.26012668,0.26104674,0.26012668
0.2669627,0.25885612,0.2574975,0.2574975
0.26038724,0.2527347,0.24728921,0.25112242
0.26824304,0.26824304,0.26824304,0.26824304
0.26824304,0.26824304,0.26194075,0.26278463
0.28961998,0.29459116,0.29459116,0.29459116
0.2541384,0.26038724,0.26036432,0.25857052
0.28129694,0.29012203,0.28135097,0.28129694
0.24591205,0.2499572,0.2499572,0.24984162
0.24964443,0.25484464,0.2579385,0.25484464
0.26176506,0.26176506,0.26176506,0.26176506
0.24840476,0.24755384,0.24840476,0.24755384
0.24964443,0.25484464,0.24130702,0.2579385
0.2579385,0.22901113,0.23618002,0.24130702
0.2451962,0.23878907,0.23737347,0.24466158
0.23878907,0.23737347,0.24101302,0.23759365
0.24130702,0.23618002,0.23618002,0.22901113
0.23981844,0.23981844,0.25366896,0.24890433
0.24890433,0.24890433,0.2509953,0.24890433
0.24249966,0.24544421,0.24544421,0.24544421
0.2424801,0.2424801,0.24347362,0.24347362
0.25702712,0.25649738,0.25649738,0.25649738
0.25649738,0.25649738,0.250249,0.25649738
0.25649738,0.25649738,0.25649738,0.25649738
0.24446912,0.24446912,0.23989455,0.23718385
0.232473,0.21815151,0.21815151,0.232473
0.27262115,0.27020127,0.26493543,0.2653973
0.22543551,0.22323784,0.2222267,0.22323784
0.2411672,0.2411672,0.2367359,0.2367359
0.22361937,0.21960194,0.22451161,0.21960194
0.22268799,0.22136073,0.21819068,0.22269033
0.21960194,0.21867147,0.22451161,0.21960194
0.21960194,0.21960194,0.21867147,0.22451161
0.21960194,0.22412944,0.22451161,0.21867147
0.22412944,0.21867147,0.22412944,0.22412944
