feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,clor_val
0.1624438,0.1624438,0.16742739,0.1790543,0.17359076,0.20547763,0.20232119,0.16742739
0.17185268,0.19650154,0.22401573,0.17185268,0.2101399,0.1378303,0.19001071,0.17496493
0.16728775,0.19716325,0.18922141,0.18794952,0.18922141,0.1816046,0.18622501,0.18391225
0.18650903,0.18817002,0.1682781,0.19910882,0.19723576,0.22004993,0.25996822,0.16760199
0.16927093,0.16927093,0.1624438,0.18286501,0.16742739,0.1790543,0.19114617,0.1624438
0.22004993,0.25996822,0.18618709,0.14216441,0.18417741,0.17172728,0.17829698,0.1495867
0.16927093,0.16927093,0.19974211,0.1624438,0.2487148,0.1790543,0.19114617,0.18286501
0.19587503,0.20290843,0.21474963,0.1961569,0.2078963,0.16658835,0.17895997,0.18682258
0.1961569,0.18682258,0.2078963,0.17895997,0.18817002,0.1857669,0.1849152,0.16658835
0.18726331,0.19703759,0.18650499,0.19336407,0.19002229,0.17142169,0.17142169,0.19150871
0.18251354,0.18215148,0.19237775,0.16927093,0.20029558,0.18286501,0.2487148,0.19974211
0.17397858,0.19013864,0.19469182,0.18215148,0.20883073,0.19974211,0.20029558,0.19237775
0.17895997,0.18228604,0.22942066,0.1849152,0.16763474,0.17759009,0.16763474,0.1956474
0.1583877,0.1644504,0.13927054,0.17216174,0.18722346,0.19279322,0.19279322,0.15928015
0.19002229,0.18460844,0.18771362,0.17142169,0.17210929,0.18261229,0.16747281,0.18460844
0.17142169,0.18460844,0.17210929,0.16747281,0.1549379,0.18527699,0.16747281,0.18261229
0.18261229,0.16747281,0.1549379,0.16747281,0.19013864,0.19469182,0.3670596,0.18527699
0.15928015,0.17216174,0.17216174,0.19279322,0.19444661,0.20678185,0.18719856,0.19279322
0.19279322,0.19279322,0.19444661,0.20678185,0.19122238,0.16541263,0.1658591,0.18719856
0.20678185,0.18719856,0.19122238,0.1658591,0.19167684,0.20163184,0.19763015,0.16541263
0.18460844,0.17210929,0.2007567,0.18261229,0.20492518,0.18527699,0.16747281,0.16747281
0.18270822,0.21871023,0.19289212,0.20805655,0.1827627,0.1827627,0.19485882,0.20805655
0.17216174,0.17216174,0.17318983,0.19279322,0.17318983,0.18719856,0.17457159,0.19444661
0.18719856,0.17457159,0.16541263,0.17457159,0.20163184,0.19763015,0.19446942,0.1658591
0.17210929,0.2007567,0.20211264,0.16747281,0.20644447,0.16747281,0.16929509,0.20492518
0.20805655,0.20805655,0.1827627,0.20110348,0.1827627,0.20230041,0.16829912,0.19485882
0.17216174,0.17318983,0.17820989,0.19444661,0.18244205,0.17457159,0.19120601,0.17318983
0.19444661,0.17318983,0.18244205,0.19120601,0.1658591,0.17457159,0.17949453,0.17457159
0.17457159,0.19120601,0.1658591,0.17949453,0.19763015,0.19446942,0.18524295,0.17457159
0.2007567,0.20211264,0.21255824,0.20492518,0.20358638,0.16929509,0.19317651,0.20644447
0.19485882,0.20110348,0.20230041,0.15896009,0.2380411,0.17795798,0.17904256,0.16829912
0.20858388,0.19239984,0.20041034,0.17318983,0.18000989,0.17318983,0.18244205,0.17820989
0.17318983,0.17820989,0.18000989,0.17318983,0.17457159,0.19120601,0.18575698,0.18244205
0.17318983,0.18244205,0.17457159,0.18575698,0.17457159,0.17949453,0.17492326,0.19120601
0.16829912,0.15896009,0.17795798,0.30403,0.13993527,0.15248992,0.23510788,0.17904256
0.19239984,0.20041034,0.22446772,0.17820989,0.17333744,0.18244205,0.15830486,0.18000989
0.18244205,0.15830486,0.19120601,0.1818336,0.17949453,0.17492326,0.1774087,0.18575698
0.18084006,0.18084006,0.19393858,0.21311533,0.19850276,0.14430965,0.15101168,0.20196679
0.17904256,0.30403,0.15248992,0.23510788,0.18359524,0.18359524,0.19900487,0.23510788
0.20041034,0.22446772,0.21079624,0.18000989,0.17622773,0.15830486,0.17197777,0.17333744
0.18000989,0.17333744,0.17622773,0.17197777,0.18575698,0.1818336,0.15191472,0.15830486
0.15830486,0.17197777,0.18575698,0.15191472,0.17492326,0.1774087,0.1774087,0.1818336
0.20196679,0.19850276,0.18646918,0.14430965,0.18646918,0.17374128,0.18232706,0.15101168
0.18186846,0.16242938,0.16730125,0.17907391,0.1785281,0.19048513,0.19055553,0.17418845
0.15101168,0.18646918,0.20501643,0.17374128,0.15068683,0.16224785,0.15068683,0.18232706
0.16242938,0.10976028,0.17418845,0.19038793,0.19048513,0.19055553,0.18637016,0.17907391
0.16224785,0.15068683,0.16629381,0.21233912,0.18484151,0.16244529,0.18484151,0.21233912
0.10976028,0.17597288,0.17907391,0.19057344,0.19055553,0.18637016,0.17774944,0.19038793
0.20110098,0.19481453,0.19563216,0.19792295,0.19275945,0.18341044,0.15933818,0.21457823
0.19792295,0.21457823,0.19275945,0.18341044,0.20501643,0.34525314,0.25159228,0.15933818
0.18341044,0.15933818,0.20501643,0.25159228,0.20501643,0.34525314,0.11517203,0.34525314
0.20501643,0.34525314,0.25159228,0.20501643,0.11517203,0.15068683,0.17229275,0.34525314
0.20501643,0.34525314,0.11517203,0.15068683,0.15068683,0.16629381,0.2023318,0.17229275
0.15068683,0.17229275,0.15068683,0.2023318,0.21233912,0.18484151,0.19643316,0.16629381
0.1486379,0.17017956,0.10976028,0.17917213,0.10976028,0.17597288,0.18053569,0.16772947
0.18484151,0.19643316,0.18484151,0.22989547,0.20943688,0.21923512,0.22049452,0.21512619
0.14402685,0.19785309,0.121736325,0.21645625,0.16479392,0.19119748,0.1849309,0.17743465
0.19764146,0.19156018,0.20835185,0.1958768,0.2043917,0.20980498,0.20980498,0.19541287
0.20835185,0.19541287,0.1958768,0.2043917,0.20980498,0.1731704,0.20304424,0.20980498
0.2043917,0.20980498,0.20980498,0.20304424,0.14402685,0.19785309,0.20168304,0.1731704
0.1731704,0.20304424,0.14402685,0.20168304,0.17743465,0.21645625,0.21473801,0.19785309
0.18882702,0.20756868,0.18964295,0.17259847,0.18964295,0.15058121,0.15058121,0.21053937
0.17259847,0.21053937,0.18964295,0.15058121,0.18237081,0.18237081,0.2067773,0.15058121
0.20481336,0.19166133,0.20885465,0.2027059,0.20885465,0.17356019,0.20028333,0.19166133
0.20021853,0.23048319,0.1939569,0.19940406,0.19789563,0.19523495,0.18696871,0.19940406
0.19363786,0.21990025,0.19596234,0.19636345,0.17539439,0.19564389,0.18313259,0.25446248
