feature_0,feature_1,feature_2,feature_3,feature_4,clor_val
0.20805655,0.19485882,0.20230041,0.16829912,0.15896009,0.20110348
0.20110348,0.16829912,0.17795798,0.17904256,0.30403,0.15896009
0.21311533,0.20196679,0.19850276,0.15101168,0.17374128,0.14430965
0.15896009,0.17904256,0.15248992,0.23510788,0.23510788,0.30403
0.14430965,0.15101168,0.18646918,0.18232706,0.16224785,0.17374128
0.23510788,0.23510788,0.18359524,0.18186846,0.16242938,0.19900487
0.16244529,0.18484151,0.21512619,0.19343132,0.21923512,0.20943688
0.121736325,0.17743465,0.19119748,0.1486379,0.17017956,0.16479392
0.15933818,0.34525314,0.18237081,0.34525314,0.11517203,0.25159228
0.34525314,0.25159228,0.18237081,0.34525314,0.17229275,0.11517203
0.18484151,0.21512619,0.22989547,0.20943688,0.22049452,0.21923512
0.19764146,0.24526526,0.19541287,0.2043917,0.20980498,0.20835185
0.24526526,0.20835185,0.19541287,0.20980498,0.1731704,0.2043917
0.1731704,0.19785309,0.121736325,0.17743465,0.21645625,0.14402685
0.19643316,0.21512619,0.19988579,0.21923512,0.22049452,0.22989547
0.15058121,0.15058121,0.1621662,0.18237081,0.1621662,0.2067773
0.15058121,0.1621662,0.17926048,0.2067773,0.17926048,0.1621662
0.1621662,0.17926048,0.18639511,0.1621662,0.18210225,0.17926048
0.19166133,0.20885465,0.31785807,0.19166133,0.20028333,0.20885465
0.18570015,0.2128206,0.3138968,0.20885465,0.20885465,0.31785807
0.18345082,0.18765628,0.19275877,0.19062991,0.1789287,0.18757387
0.20872116,0.1865295,0.184146,0.15813145,0.16094764,0.2001793
0.19749154,0.23058572,0.21310493,0.20898215,0.18991493,0.23284523
0.2001793,0.15813145,0.15813145,0.19313157,0.16309275,0.16094764
0.19402206,0.19149305,0.20420863,0.19367343,0.19149305,0.19149305
0.15081316,0.21364915,0.18755119,0.13144474,0.20312633,0.15322922
0.14270309,0.17751728,0.13794056,0.17312877,0.18054035,0.15050821
0.16451012,0.18017001,0.18017001,0.17175575,0.17399701,0.15546773
0.19149305,0.20420863,0.20420863,0.19149305,0.19935481,0.19149305
0.17857747,0.2346615,0.2003838,0.21401985,0.15525864,0.2346615
0.16400546,0.16954468,0.21011937,0.22438014,0.22438014,0.164615
0.20420863,0.20420863,0.20107412,0.19149305,0.20891008,0.19935481
0.19739483,0.17203164,0.16618608,0.16424607,0.19351411,0.16424607
0.19739483,0.16424607,0.17203164,0.16618608,0.19351411,0.16424607
0.15525864,0.16959299,0.17830792,0.18587297,0.18269463,0.16323113
0.18078111,0.19119057,0.164615,0.21011937,0.21011937,0.16400546
0.20420863,0.20107412,0.18559581,0.19935481,0.20981836,0.20891008
0.16424607,0.18041214,0.16424607,0.19351411,0.19351411,0.17203164
0.16424607,0.17203164,0.18041214,0.16424607,0.19351411,0.19351411
0.21824387,0.19038613,0.4288193,0.18658891,0.23482813,0.20770925
0.18658891,0.23482813,0.2126286,0.21528034,0.21528034,0.2072676
0.2126286,0.2072676,0.21528034,0.20107412,0.18559581,0.21528034
0.21528034,0.21528034,0.20107412,0.20891008,0.20981836,0.18559581
0.17203164,0.18041214,0.19351411,0.19351411,0.1947963,0.18041214
0.17203164,0.18041214,0.18041214,0.19351411,0.1947963,0.19351411
0.1990191,0.18316065,0.2355472,0.20497502,0.26418003,0.26418003
0.18041214,0.18818434,0.19351411,0.1947963,0.21067277,0.18041214
0.18041214,0.18041214,0.18818434,0.19351411,0.21067277,0.1947963
0.23630874,0.20644015,0.20413138,0.2143969,0.21235555,0.21359727
